time/iterations,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
950,803.86,2.273676633834839,0.00025,0.019513149,0.141845703125,6415.852456500001,0.2,-0.022094915981870144,0.8812382817268372,0.028640017937868835,-0.20839756727218628,15564800,10902,1427,9490,-36.18254089355469,,
960,847.79,2.302794933319092,0.00025,0.017544063,0.131219482421875,6866.448805359999,0.2,-0.019851909740827976,0.8445451259613037,0.02344370260834694,-0.20450051128864288,15728640,10908,1441,9590,-36.37992191314697,,
970,768.26,2.328385829925537,0.00025,0.019265648,0.14111328125,6217.88215857,0.2,-0.02114285538555123,0.8324064612388611,0.029859017953276633,-0.20721404254436493,15892480,10917,1455,9690,-36.54015254974365,,
,,2.352426052093506,0.00025,0.019034121,0.1682373046875,,0.2,-0.02055719926720485,0.8133237957954407,0.027474579121917485,-0.20606817305088043,16000000,,,9760,-36.681987571716306,1000.0,8353.54932242632
980,820.63,2.3632664680480957,0.00025,0.018495932,0.130450439453125,6622.394384000001,0.2,-0.01900913054123521,0.8442281484603882,0.019879003707319497,-0.20763622224330902,16056320,10912,1471,9790,-36.7453088760376,,
990,893.92,2.386326789855957,0.00025,0.018785033,0.14013671875,7228.3361708,0.2,-0.019290900381747633,0.8459977507591248,0.018913483526557685,-0.20891602337360382,16220160,10921,1485,9890,-36.88935928344726,,
1000,847.47,2.412087917327881,0.00025,0.020290334,0.1472900390625,6895.640914079999,0.2,-0.022639961808454245,0.8697052001953125,0.025673428922891615,-0.21375562250614166,16384000,10924,1499,9990,-37.03948783874512,,
1010,834.6,2.4493656158447266,0.00025,0.018718388,0.1447265625,6816.06167102,0.2,-0.01892594831297174,0.7754693627357483,0.01654675416648388,-0.21223574876785278,16547840,10927,1514,10090,-37.273393630981445,,
1020,783.91,2.480074882507324,0.00025,0.020182159,0.13968505859375,6414.46211631,0.2,-0.020095719676464795,0.8156543970108032,0.025408706348389386,-0.21172460913658142,16711680,10932,1528,10190,-37.45292587280274,,
1030,762.72,2.515348434448242,0.00025,0.020762485,0.15960693359375,6244.987633290001,0.2,-0.02115581298712641,0.8493447303771973,0.029508317820727825,-0.2129703313112259,16875520,10935,1543,10290,-37.66311454772949,,
1040,764.78,2.5470523834228516,0.00025,0.01843771,0.133343505859375,6310.6026535400015,0.2,-0.019833405455574393,0.8479444980621338,0.023910573031753302,-0.21205338835716248,17039360,10939,1557,10390,-37.84121723175049,,
1050,760.17,2.5815906524658203,0.00025,0.019679528,0.145965576171875,6268.94869357,0.2,-0.022239807713776826,0.8533852696418762,0.02088368982076645,-0.22000011801719666,17203200,10944,1571,10490,-38.0514476776123,,
1060,761.78,2.6128382682800293,0.00025,0.019527055,0.152362060546875,6281.90203584,0.2,-0.021461174392607064,0.8211685419082642,0.031802198942750694,-0.21457643806934357,17367040,10948,1586,10590,-38.23318004608154,,
1070,805.77,2.6423375606536865,0.00025,0.017278876,0.13580322265625,6693.250440809999,0.2,-0.02065686109708622,0.8961765170097351,0.02535261632874608,-0.21676801145076752,17530880,10948,1601,10690,-38.37748031616211,,
1080,821.82,2.6697754859924316,0.00025,0.02089785,0.150994873046875,6823.838374110001,0.2,-0.022547949641011655,0.8324168920516968,0.030136564280837774,-0.21749933063983917,17694720,10949,1616,10790,-38.52678031921387,,
1090,875.27,2.7114369869232178,0.00025,0.020157183,0.145611572265625,7285.41389927,0.2,-0.020818687835708262,0.8530222773551941,0.021134722512215376,-0.2187919169664383,17858560,10949,1631,10890,-38.74767532348633,,
,,2.7475361824035645,0.00025,0.017031197,0.14046630859375,,0.2,-0.020723906357306986,0.7999626994132996,0.019683554675430058,-0.22190260887145996,18000000,,,10980,-38.93388366699219,1000.0,8798.63028862402
1100,853.9,2.7501184940338135,0.00025,0.020739865,0.132537841796875,7139.417704889999,0.2,-0.020259517629165204,0.8171316981315613,0.01961727486923337,-0.2216218113899231,18022400,10938,1647,10990,-38.945797538757326,,
1110,797.14,2.7880120277404785,0.00025,0.019653318,0.1353759765625,6674.00339921,0.2,-0.019487064355053006,0.8080059289932251,0.023483759071677924,-0.22003595530986786,18186240,10942,1662,11090,-39.16464424133301,,
1120,841.94,2.817960500717163,0.00025,0.020457026,0.14019775390625,7041.827761559998,0.2,-0.020083884010091424,0.8447867035865784,0.023999982792884112,-0.21942530572414398,18350080,10946,1676,11190,-39.30111808776856,,
1130,818.1,2.849914073944092,0.00025,0.019291846,0.152545166015625,6907.117389360001,0.2,-0.01929523057769984,0.8206023573875427,0.02184205180965364,-0.22173966467380524,18513920,10950,1690,11290,-39.46081199645996,,
1140,796.0,2.8780996799468994,0.00025,0.018791834,0.15548095703125,6728.978915990001,0.2,-0.019274159014457837,0.7897310256958008,0.024708441458642483,-0.22009479999542236,18677760,10953,1705,11390,-39.612647438049315,,
1150,764.26,2.913053512573242,0.00025,0.021755563,0.159783935546875,6468.431010720001,0.2,-0.021517505252268164,0.7699560523033142,0.03999636871740222,-0.2212049812078476,18841600,10957,1719,11490,-39.78147296905517,,
1160,855.88,2.944847345352173,0.00025,0.018302355,0.146343994140625,7245.705808369999,0.2,-0.01845960795180872,0.8335539102554321,0.012497164681553841,-0.22460582852363586,19005440,10961,1733,11590,-39.91709232330322,,
